model,features,accuracy,top3_accuracy,macro_f1,weighted_f1,fallback
Pitcher + Count Majority,"pitcher, balls, strikes",0.40601796280769903,0.8005211506330412,0.3328791793011643,0.38081805556115705,FF
Pitcher Majority,pitcher,0.3918853709880751,0.7979787317461562,0.25937594408999914,0.34706667201051816,FF
Previous Pitch + Count,"prev_pitch_type, balls, strikes",0.3746403517766773,0.7085567625929656,0.28948619929761327,0.33993192172535763,FF
Previous Pitch Markov,prev_pitch_type,0.36501052555387337,0.7045274961245453,0.2589007407327905,0.31593762761870087,FF
Count/Base Majority,"balls, strikes, outs_when_up, runner_1b, runner_2b, runner_3b",0.31843871956184744,0.6214540343935291,0.04830542593100924,0.15382317981360247,FF
Global Majority,-,0.31843871956184744,0.6079125625049009,0.04830542593100924,0.15382317981360247,FF
